armyPerception,civilianPerception,percentCivilianGlassesWearers,redCrossPerception,totalNumberArmy,totalNumberCivilians,totalNumberRedCross,totalZombified
2.81982421875,2.60791015625,0.1748046875,1.77841796875,10,100,10,14
2.81982421875,2.60791015625,0.1748046875,1.77841796875,10,100,10,37
2.81982421875,2.60791015625,0.1748046875,1.77841796875,10,100,10,5
2.81982421875,2.60791015625,0.1748046875,1.77841796875,10,100,10,7
2.81982421875,2.60791015625,0.1748046875,1.77841796875,10,100,10,29
2.81982421875,2.60791015625,0.1748046875,1.77841796875,10,100,10,18
2.81982421875,2.60791015625,0.1748046875,1.77841796875,10,100,10,11
4.36982421875,4.15791015625,0.6748046875,3.32841796875,10,100,10,3
4.36982421875,4.15791015625,0.6748046875,3.32841796875,10,100,10,3
4.36982421875,4.15791015625,0.6748046875,3.32841796875,10,100,10,3
4.36982421875,4.15791015625,0.6748046875,3.32841796875,10,100,10,6
4.36982421875,4.15791015625,0.6748046875,3.32841796875,10,100,10,1
4.36982421875,4.15791015625,0.6748046875,3.32841796875,10,100,10,3
4.36982421875,4.15791015625,0.6748046875,3.32841796875,10,100,10,2
4.36982421875,4.15791015625,0.6748046875,3.32841796875,10,100,10,4
4.36982421875,4.15791015625,0.6748046875,3.32841796875,10,100,10,13
4.36982421875,4.15791015625,0.6748046875,3.32841796875,10,100,10,4
2.04482421875,3.38291015625,0.4248046875,2.55341796875,10,100,10,4
2.04482421875,3.38291015625,0.4248046875,2.55341796875,10,100,10,4
2.04482421875,3.38291015625,0.4248046875,2.55341796875,10,100,10,5
2.04482421875,3.38291015625,0.4248046875,2.55341796875,10,100,10,11
2.04482421875,3.38291015625,0.4248046875,2.55341796875,10,100,10,11
2.04482421875,3.38291015625,0.4248046875,2.55341796875,10,100,10,4
2.04482421875,3.38291015625,0.4248046875,2.55341796875,10,100,10,11
2.04482421875,3.38291015625,0.4248046875,2.55341796875,10,100,10,15
2.04482421875,3.38291015625,0.4248046875,2.55341796875,10,100,10,10
2.04482421875,3.38291015625,0.4248046875,2.55341796875,10,100,10,10
3.59482421875,1.8329101562499999,0.9248046875,4.10341796875,10,100,10,3
3.59482421875,1.8329101562499999,0.9248046875,4.10341796875,10,100,10,4
3.59482421875,1.8329101562499999,0.9248046875,4.10341796875,10,100,10,3
3.59482421875,1.8329101562499999,0.9248046875,4.10341796875,10,100,10,14
3.59482421875,1.8329101562499999,0.9248046875,4.10341796875,10,100,10,5
3.59482421875,1.8329101562499999,0.9248046875,4.10341796875,10,100,10,3
3.59482421875,1.8329101562499999,0.9248046875,4.10341796875,10,100,10,5
3.59482421875,1.8329101562499999,0.9248046875,4.10341796875,10,100,10,7
